year,state,state_abbr,county,percent_depression,total_population
2021,Alaska,AK,Aleutians East,13.1,3398
2021,Alaska,AK,Aleutians East,13.0,3398
2021,Alaska,AK,Aleutians West,13.5,5059
2021,Alaska,AK,Aleutians West,13.4,5059
2021,Alaska,AK,Anchorage,19.5,288121
2021,Alaska,AK,Anchorage,19.7,288121
2021,Alaska,AK,Bethel,21.2,18557
2021,Alaska,AK,Bethel,21.9,18557
2021,Alaska,AK,Bristol Bay,18.8,838
2021,Alaska,AK,Bristol Bay,18.1,838
2021,Alaska,AK,Chugach,19.7,6941
2021,Alaska,AK,Chugach,20.1,6941
2021,Alaska,AK,Copper River,19.0,2630
2021,Alaska,AK,Copper River,20.0,2630
2021,Alaska,AK,Denali,19.9,1593
2021,Alaska,AK,Denali,19.9,1593
2021,Alaska,AK,Dillingham,20.3,4772
2021,Alaska,AK,Dillingham,20.6,4772
2021,Alaska,AK,Fairbanks North Star,20.0,95593
2021,Alaska,AK,Fairbanks North Star,19.5,95593
2021,Alaska,AK,Haines,20.4,2071
2021,Alaska,AK,Haines,21.8,2071
2021,Alaska,AK,Hoonah-Angoon,20.4,2332
2021,Alaska,AK,Hoonah-Angoon,18.6,2332
2021,Alaska,AK,Juneau,20.2,31973
2021,Alaska,AK,Juneau,20.0,31973
2021,Alaska,AK,Kenai Peninsula,22.2,59767
2021,Alaska,AK,Kenai Peninsula,21.3,59767
2021,Alaska,AK,Ketchikan Gateway,19.9,13754
2021,Alaska,AK,Ketchikan Gateway,19.3,13754
2021,Alaska,AK,Kodiak Island,16.1,12787
2021,Alaska,AK,Kodiak Island,16.0,12787
2021,Alaska,AK,Kusilvak,23.7,8360
2021,Alaska,AK,Kusilvak,24.7,8360
2021,Alaska,AK,Lake and Peninsula,20.7,1416
2021,Alaska,AK,Lake and Peninsula,20.6,1416
2021,Alaska,AK,Matanuska-Susitna,22.2,110686
2021,Alaska,AK,Matanuska-Susitna,22.1,110686
2021,Alaska,AK,Nome,20.4,9865
2021,Alaska,AK,Nome,19.8,9865
2021,Alaska,AK,North Slope,17.5,10972
2021,Alaska,AK,North Slope,17.9,10972
2021,Alaska,AK,Northwest Arctic,20.3,7560
2021,Alaska,AK,Northwest Arctic,20.8,7560
2021,Alaska,AK,Petersburg,18.9,3356
2021,Alaska,AK,Petersburg,19.9,3356
